"pair.no","ind1.id","ind2.id","group","qt_point","quellergt.low","quellergt.high"
1,"AO-B-AP","AO-B-JU","AOAO",0.5095,0.2521,0.7518
2,"AO-B-AP","AO-B-NV","AOAO",0.2844,-0.0452,0.6232
3,"AO-B-AP","AO-R-CR","AOAO",0.145,-0.1992,0.4025
4,"AO-B-AP","AO-R-NV","AOAO",0.0586,-0.158,0.2708
5,"AO-B-AP","AP-B-AO","AOAP",-0.0651,-0.2437,0.1486
6,"AO-B-AP","AP-B-CR","AOAP",0.1006,-0.1219,0.4681
7,"AO-B-AP","AP-B-LV","AOAP",-0.0651,-0.3838,0.3101
8,"AO-B-AP","AP-B-MO","AOAP",0.0437,-0.1871,0.3443
9,"AO-B-AP","AP-B-OX","AOAP",0.1964,-0.143,0.464
10,"AO-B-AP","AP-R-AP","AOAP",-0.1399,-0.3693,0.1229
11,"AO-B-AP","AP-R-JU","AOAP",-0.3001,-0.4639,-0.08
12,"AO-B-AP","AP-R-NV","AOAP",-0.2257,-0.3441,-0.0206
13,"AO-B-AP","AP-X-JU1","AOAP",-0.129,-0.2993,0.0694
14,"AO-B-AP","CR-B-LV","AOCR",-0.0989,-0.3366,0.1797
15,"AO-B-AP","CR-B-VO","AOCR",-0.0944,-0.231,0.0582
16,"AO-B-AP","CR-R-CR","AOCR",-0.1441,-0.413,0.1142
17,"AO-B-AP","CR-R-MP","AOCR",0.0716,-0.3052,0.4444
18,"AO-B-AP","LV-B-CR","AOLV",-0.1616,-0.3995,0.0453
19,"AO-B-AP","LV-B-MO","AOLV",-0.085,-0.41,0.2178
20,"AO-B-AP","LV-B-VO","AOLV",0.0186,-0.2273,0.2487
21,"AO-B-AP","LV-R-NV","AOLV",0.1803,-0.1211,0.4734
22,"AO-B-AP","LV-X-INB","AOLV",0,-0.239,0.2318
23,"AO-B-AP","MO-B-LV","AOMO",0.0711,-0.1702,0.3118
24,"AO-B-AP","MO-R-NV","AOMO",-0.1066,-0.3488,0.1189
25,"AO-B-AP","NV-B-AP","AONV",-0.0035,-0.2081,0.2466
26,"AO-B-AP","NV-B-CR","AONV",-0.0868,-0.3861,0.2183
27,"AO-B-AP","NV-B-LV","AONV",0.1887,-0.1392,0.465
28,"AO-B-AP","NV-B-MO","AONV",0.1566,-0.14,0.5271
29,"AO-B-AP","NV-B-MP","AONV",0.0117,-0.238,0.2346
30,"AO-B-AP","NV-B-NV","AONV",0.1279,-0.2054,0.5204
31,"AO-B-AP","NV-B-NV2","AONV",0.201,-0.0983,0.4572
32,"AO-B-AP","NV-B-VP","AONV",0.0052,-0.1936,0.2127
33,"AO-B-AP","NV-R-JU","AONV",-0.0112,-0.2129,0.1388
34,"AO-B-AP","NV-R-JU1","AONV",0.3275,0.1113,0.5266
35,"AO-B-AP","NV-R-JU2","AONV",0.0186,-0.1716,0.2672
36,"AO-B-AP","NV-R-LV","AONV",0.0564,-0.1879,0.4216
37,"AO-B-AP","NV-R-VO","AONV",-0.1201,-0.358,0.1336
38,"AO-B-AP","VO-B-AP","AOVO",-0.1993,-0.33,-0.0371
39,"AO-B-AP","VO-B-JU","AOVO",0.1759,-0.1088,0.4601
40,"AO-B-AP","VO-B-MO","AOVO",-0.2287,-0.3558,-0.0734
41,"AO-B-AP","VO-R-AO","AOVO",-0.0674,-0.3932,0.2653
42,"AO-B-AP","VO-R-JU1","AOVO",0.0046,-0.2535,0.2062
43,"AO-B-AP","VO-R-JU2","AOVO",-0.0714,-0.2963,0.1743
44,"AO-B-AP","VO-R-LV","AOVO",-0.0345,-0.2978,0.2312
45,"AO-B-JU","AO-B-NV","AOAO",7e-04,-0.26,0.2819
46,"AO-B-JU","AO-R-CR","AOAO",0.2852,-0.0612,0.7049
47,"AO-B-JU","AO-R-NV","AOAO",0.4194,0.1651,0.6528
48,"AO-B-JU","AP-B-AO","AOAP",-0.0173,-0.2555,0.2405
49,"AO-B-JU","AP-B-CR","AOAP",0.0405,-0.2099,0.2595
50,"AO-B-JU","AP-B-LV","AOAP",0.1861,-0.1435,0.4406
51,"AO-B-JU","AP-B-MO","AOAP",0.2959,0.0095,0.5063
52,"AO-B-JU","AP-B-OX","AOAP",0.1521,-0.0473,0.3466
53,"AO-B-JU","AP-R-AP","AOAP",-0.1666,-0.3135,0.0674
54,"AO-B-JU","AP-R-JU","AOAP",-0.0835,-0.3858,0.1806
55,"AO-B-JU","AP-R-NV","AOAP",-0.0015,-0.2337,0.1938
56,"AO-B-JU","AP-X-JU1","AOAP",-0.0338,-0.236,0.2635
57,"AO-B-JU","CR-B-LV","AOCR",0.0028,-0.1733,0.2193
58,"AO-B-JU","CR-B-VO","AOCR",-0.1155,-0.2933,0.0298
59,"AO-B-JU","CR-R-CR","AOCR",-0.1728,-0.3562,0.0565
60,"AO-B-JU","CR-R-MP","AOCR",-0.0612,-0.2935,0.1403
61,"AO-B-JU","LV-B-CR","AOLV",-0.0049,-0.2281,0.2326
62,"AO-B-JU","LV-B-MO","AOLV",-0.1047,-0.3398,0.1351
63,"AO-B-JU","LV-B-VO","AOLV",0.011,-0.2423,0.2888
64,"AO-B-JU","LV-R-NV","AOLV",0.1948,-0.1769,0.5807
65,"AO-B-JU","LV-X-INB","AOLV",0.1332,-0.1034,0.2779
66,"AO-B-JU","MO-B-LV","AOMO",0.129,-0.2155,0.432
67,"AO-B-JU","MO-R-NV","AOMO",-0.2047,-0.373,-0.0098
68,"AO-B-JU","NV-B-AP","AONV",-0.1604,-0.3493,0.0746
69,"AO-B-JU","NV-B-CR","AONV",-0.1068,-0.3694,0.0983
70,"AO-B-JU","NV-B-LV","AONV",-0.1258,-0.2931,0.0809
71,"AO-B-JU","NV-B-MO","AONV",0.3077,-0.0506,0.6933
72,"AO-B-JU","NV-B-MP","AONV",0.0736,-0.1853,0.4397
73,"AO-B-JU","NV-B-NV","AONV",0.003,-0.19,0.2275
74,"AO-B-JU","NV-B-NV2","AONV",0.2191,-0.1267,0.527
75,"AO-B-JU","NV-B-VP","AONV",0.0625,-0.1947,0.2885
76,"AO-B-JU","NV-R-JU","AONV",-0.0235,-0.1267,0.1466
77,"AO-B-JU","NV-R-JU1","AONV",-0.0198,-0.244,0.2454
78,"AO-B-JU","NV-R-JU2","AONV",-0.1209,-0.393,0.1781
79,"AO-B-JU","NV-R-LV","AONV",0.1216,-0.1976,0.4057
80,"AO-B-JU","NV-R-VO","AONV",0.0206,-0.2485,0.2524
81,"AO-B-JU","VO-B-AP","AOVO",-0.1201,-0.3289,0.1236
82,"AO-B-JU","VO-B-JU","AOVO",0.191,-0.1749,0.4463
83,"AO-B-JU","VO-B-MO","AOVO",-0.266,-0.3831,-0.1333
84,"AO-B-JU","VO-R-AO","AOVO",-0.1506,-0.3319,0.0503
